Orthogroup	C. briggsae (AF16)	C. nigoni (JU1421)	C. elegans (N2)
OG0000000	"CBR00043, CBR00384, CBR00510, CBR00532, CBR00716, CBR00735, CBR00816, CBR00877, CBR00920, CBR01020, CBR01134, CBR01178, CBR01320, CBR01509, CBR01563, CBR01582, CBR01644, CBR01656, CBR01718, CBR01880, CBR01887, CBR02173, CBR02176, CBR02295, CBR02366, CBR02464, CBR02692, CBR02735, CBR02770, CBR02812, CBR02933, CBR03181, CBR03216, CBR03304, CBR03310, CBR03323, CBR03558, CBR03611, CBR03731, CBR03749, CBR03888, CBR03890, CBR03904, CBR03908, CBR03919, CBR04003, CBR04140, CBR04161, CBR04162, CBR04170, CBR04189, CBR04250, CBR04253, CBR04357, CBR04422, CBR04560, CBR05328, CBR05409, CBR05555, CBR05575, CBR05577, CBR05602, CBR05671, CBR05678, CBR05701, CBR05726, CBR05727, CBR05757, CBR05765, CBR05873, CBR05894, CBR05933, CBR06045, CBR06082, CBR06111, CBR06200, CBR06207, CBR06392, CBR06444, CBR06582, CBR06811, CBR07218, CBR07486, CBR07488, CBR07621, CBR07708, CBR07737, CBR07810, CBR07813, CBR07971, CBR08006, CBR08276, CBR08430, CBR08441, CBR08462, CBR08463, CBR08492, CBR08536, CBR08547, CBR08867, CBR08945, CBR09029, CBR09048, CBR09083, CBR09108, CBR09129, CBR09435, CBR09533, CBR09555, CBR09574, CBR09584, CBR09601, CBR09615, CBR09641, CBR09653, CBR09701, CBR09715, CBR09720, CBR09723, CBR09769, CBR09780, CBR09782, CBR09829, CBR09830, CBR09832, CBR09867, CBR09918, CBR10125, CBR10138, CBR10209, CBR10251, CBR10321, CBR10405, CBR10437, CBR10440, CBR10486, CBR10598, CBR10700, CBR10710, CBR10804, CBR10807, CBR10867, CBR10950, CBR11384, CBR11684, CBR11761, CBR11809, CBR11816, CBR11828, CBR11924, CBR11975, CBR11984, CBR11992, CBR12018, CBR12076, CBR12080, CBR12131, CBR12146, CBR12397, CBR12672, CBR12727, CBR12841, CBR12912, CBR13170, CBR13298, CBR13362, CBR13395, CBR13440, CBR13506, CBR13677, CBR13803, CBR13821, CBR14069, CBR14083, CBR14351, CBR14396, CBR14407, CBR14483, CBR14487, CBR14526, CBR14620, CBR14624, CBR14747, CBR14829, CBR15111, CBR15139, CBR15455, CBR15473, CBR15573, CBR15574, CBR15617, CBR15666, CBR15962, CBR16016, CBR16056, CBR16142, CBR16169, CBR16183, CBR16409, CBR16456, CBR16511, CBR16576, CBR16627, CBR16664, CBR16668, CBR16794, CBR16816, CBR17031, CBR17096, CBR17152, CBR17255, CBR17412, CBR17418, CBR17459, CBR17473, CBR17479, CBR17637, CBR17711, CBR17715, CBR18019, CBR18132, CBR18139, CBR18229, CBR18357, CBR18520, CBR18541, CBR18551, CBR18553, CBR18594, CBR18610, CBR18618, CBR18632, CBR18638, CBR18653, CBR18662, CBR18684, CBR18740, CBR18816, CBR18833, CBR18989, CBR19040, CBR19063, CBR19081, CBR19102, CBR19236, CBR19298, CBR19346, CBR19378, CBR19456, CBR19465, CBR19499, CBR19518, CBR19607, CBR19619, CBR19649, CBR19671, CBR19705, CBR19866, CBR19871, CBR19873, CBR19877, CBR19909, CBR19935, CBR20068, CBR20088, CBR20098, CBR20105, CBR20137, CBR20184, CBR20279, CBR20330, CBR20333, CBR20413, CBR20416, CBR20630, CBR20636, CBR20643, CBR20763, CBR20764, CBR20816, CBR20828, CBR20976, CBR20978, CBR20982, CBR21049, CBR21059, CBR21094, CBR21127, CBR21152"	"CNI00186, CNI02956, CNI05200, CNI06968, CNI11050, CNI11527, CNI13112, CNI13169, CNI17777, CNI17822, CNI18337, CNI18414, CNI18835, CNI21861, CNI23203, CNI23681, CNI24937, CNI25225, CNI25240, CNI25896, CNI26172, CNI26275, CNI26656, CNI27124, CNI27229, CNI27261, CNI28177, CNI28294"	
OG0000001	"CBR01400, CBR08679, CBR08704, CBR08711, CBR08712, CBR08713, CBR08714, CBR08715, CBR08716, CBR08718, CBR08722, CBR08760, CBR08761, CBR08762, CBR08774, CBR08775, CBR08776, CBR08784, CBR08785, CBR08786, CBR08787, CBR20963, CBR20965, CBR20966, CBR20967, CBR20968, CBR20969, CBR20970"	"CNI01724, CNI10904, CNI10976, CNI10977, CNI10978, CNI11381, CNI11382, CNI11400, CNI11429, CNI11430, CNI11431, CNI11432, CNI11433, CNI11434, CNI11461, CNI11462, CNI11463, CNI11464, CNI11465, CNI11466, CNI11467, CNI11468, CNI11469, CNI11480, CNI11481, CNI11482, CNI11483, CNI11484, CNI11485, CNI11488, CNI11492, CNI11493, CNI11495, CNI11496, CNI11500, CNI11501, CNI11502, CNI11503, CNI11504, CNI11514, CNI11516, CNI11517, CNI11518, CNI11521, CNI11522, CNI11523, CNI11524, CNI11525, CNI11526, CNI11528, CNI11529, CNI11531, CNI11574, CNI11575, CNI11576, CNI11577, CNI11578, CNI11579, CNI11591, CNI11592, CNI11593, CNI11594, CNI11595, CNI11596, CNI11597, CNI11598, CNI11599, CNI11600, CNI11601, CNI11602, CNI11609, CNI11611, CNI11612, CNI11613, CNI11614, CNI11615, CNI11616, CNI11617, CNI11618, CNI11619, CNI11620, CNI11621, CNI11622, CNI11623, CNI11624, CNI11625, CNI11626, CNI11627, CNI11628, CNI11629, CNI11630, CNI27789, CNI28211, CNI28213, CNI28216, CNI28217, CNI28219, CNI28220, CNI28221, CNI28222, CNI28223, CNI28224, CNI28225, CNI28226, CNI28227, CNI28228, CNI28571, CNI28603"	
OG0000002	"CBR00319, CBR00391, CBR00392, CBR00455, CBR00463, CBR00468, CBR01271, CBR02178, CBR05736, CBR19667, CBR20129, CBR20130, CBR20131"	"CNI00048, CNI00581, CNI00589, CNI00591, CNI00596, CNI00599, CNI00609, CNI00639, CNI00640, CNI00641, CNI00659, CNI00690, CNI00691, CNI00692, CNI00696, CNI00697, CNI00698, CNI00699, CNI00700, CNI00765, CNI00767, CNI00771, CNI00773, CNI01598, CNI01696, CNI02000, CNI02541, CNI02908, CNI04618, CNI04619, CNI04620, CNI04621, CNI04623, CNI04624, CNI04625, CNI04628, CNI04629, CNI04630, CNI04631, CNI04740, CNI04759, CNI05995, CNI06516, CNI06517, CNI06956, CNI06957, CNI06958, CNI07385, CNI07388, CNI09273, CNI09666, CNI09669, CNI09673, CNI09678, CNI09962, CNI10839, CNI11006, CNI11102, CNI11103, CNI11105, CNI13518, CNI13673, CNI13674, CNI13677, CNI13689, CNI14035, CNI15105, CNI18338, CNI25029, CNI26428, CNI26429, CNI26430, CNI26431, CNI26526, CNI27010, CNI27011, CNI27012, CNI27013, CNI27017, CNI27019, CNI27020, CNI27021"	
OG0000003	"CBR16522, CBR16523, CBR16524, CBR18950, CBR18951"	"CNI21732, CNI22467, CNI22564, CNI22565, CNI22566, CNI22567, CNI22568, CNI22569, CNI22571, CNI22572, CNI22573, CNI22574, CNI22575, CNI22576, CNI22577, CNI22579, CNI22581, CNI22582, CNI22583, CNI22584, CNI22585, CNI22586, CNI22587, CNI22588, CNI22589, CNI22591, CNI22592, CNI22594, CNI22595, CNI22596, CNI22597, CNI22598, CNI22599, CNI22600, CNI22601, CNI22602, CNI22603, CNI22604, CNI22605, CNI22606, CNI22607, CNI22609, CNI22610, CNI22611, CNI22612, CNI22613, CNI22614, CNI22615, CNI22616, CNI22617, CNI22618, CNI22620, CNI22621, CNI22622, CNI22623, CNI22624, CNI22625, CNI22626, CNI22627, CNI22628, CNI22629, CNI22631, CNI22632, CNI22633, CNI22660, CNI24995, CNI24996, CNI25264"	
OG0000004	"CBR02005, CBR11940, CBR12268, CBR12269, CBR12274, CBR13188"	"CNI00183, CNI00206, CNI00207, CNI00208, CNI00221, CNI02472, CNI02473, CNI02496, CNI02497, CNI02498, CNI02552, CNI02584, CNI02618, CNI02647, CNI02733, CNI03363, CNI04725, CNI07157, CNI08333, CNI09537, CNI09624, CNI09625, CNI10210, CNI12432, CNI12450, CNI12571, CNI12574, CNI12600, CNI12601, CNI12879, CNI13577, CNI13662, CNI15018, CNI15446, CNI15448, CNI15449, CNI15526, CNI15981, CNI16062, CNI16115, CNI16160, CNI16161, CNI16174, CNI16180, CNI16181, CNI16182, CNI16183, CNI16184, CNI16185, CNI16186, CNI16187, CNI16193, CNI16224, CNI16225, CNI16226, CNI16227, CNI16228, CNI16230, CNI16279, CNI16280, CNI16281, CNI16282, CNI16336, CNI16337, CNI20511, CNI22137"	
OG0000005	"CBR09537, CBR09557, CBR09558, CBR09559, CBR09561, CBR09562"	"CNI02738, CNI02739, CNI02740, CNI02741, CNI02742, CNI02752, CNI02754, CNI02777, CNI02809, CNI09419, CNI12620, CNI12621, CNI12622, CNI12624, CNI12626, CNI12627, CNI12628, CNI12629, CNI12630, CNI12631, CNI12632, CNI12633, CNI12658, CNI12661, CNI12662, CNI12664, CNI12665, CNI12666, CNI12667, CNI12668, CNI12669, CNI12670, CNI12671, CNI12672, CNI12673, CNI12674, CNI12675, CNI12676, CNI12677, CNI12679, CNI12680, CNI12685, CNI12686, CNI12691, CNI12692, CNI12695, CNI12698, CNI12700, CNI12701, CNI12702, CNI12703, CNI12705, CNI12706, CNI12707, CNI12714, CNI12722, CNI12872, CNI12887, CNI14887, CNI15114, CNI23350, CNI24748, CNI25253"	
OG0000006	"CBR16634, CBR16651, CBR16652, CBR16653, CBR16654"	"CNI17719, CNI21330, CNI21331, CNI21332, CNI21449, CNI21450, CNI21739, CNI21744, CNI21747, CNI21769, CNI21771, CNI21772, CNI21773, CNI21774, CNI21775, CNI21776, CNI21777, CNI21778, CNI21779, CNI21782, CNI21783, CNI21804, CNI21805, CNI21806, CNI21807, CNI21808, CNI21809, CNI21810, CNI21811, CNI21812, CNI21814, CNI21815, CNI21818, CNI21819, CNI21820, CNI21822, CNI21825, CNI21826, CNI21828, CNI21829, CNI21830, CNI21832, CNI21838, CNI21839, CNI21840, CNI21841, CNI21842, CNI21927, CNI21928, CNI21929, CNI21930, CNI21931, CNI21932, CNI22453"	
OG0000007	"CBR16586, CBR16587, CBR16588, CBR16589, CBR16591, CBR16593, CBR16594, CBR16614, CBR16615"	"CNI21568, CNI21573, CNI21574, CNI21575, CNI21576, CNI21577, CNI21578, CNI21579, CNI21580, CNI21581, CNI21582, CNI21584, CNI21585, CNI21587, CNI21588, CNI21589, CNI21590, CNI21591, CNI21593, CNI21594, CNI21595, CNI21596, CNI21597, CNI21598, CNI21600, CNI21601, CNI21603, CNI21604, CNI21606, CNI21607, CNI21608, CNI21609, CNI21611, CNI21613, CNI21614, CNI21615, CNI21671, CNI21672, CNI21674, CNI21677, CNI21678, CNI21679, CNI21680, CNI21681, CNI21682, CNI21683, CNI21685, CNI21686, CNI21687, CNI21689, CNI21692, CNI21693, CNI21694"	
OG0000008	"CBR02401, CBR02439, CBR02440, CBR02443, CBR02444, CBR02837, CBR02838, CBR02839, CBR02840, CBR02841, CBR09875, CBR18530"	"CNI03004, CNI03005, CNI03006, CNI03007, CNI03008, CNI03009, CNI03023, CNI03024, CNI03037, CNI03038, CNI03039, CNI03041, CNI03042, CNI03043, CNI03044, CNI03045, CNI03046, CNI03730, CNI03732, CNI03733, CNI03734, CNI03735, CNI03736, CNI03737, CNI03738, CNI03739, CNI03740, CNI03741, CNI03742, CNI03743, CNI03744, CNI03746, CNI03748, CNI03750, CNI03751, CNI03752, CNI03753, CNI03754, CNI03755, CNI03758, CNI03760, CNI03761, CNI13176, CNI25041"	
OG0000009	"CBR01375, CBR05982, CBR09219, CBR09869, CBR09870, CBR09871, CBR09873, CBR09983"	"CNI00092, CNI00134, CNI02381, CNI08741, CNI08756, CNI12208, CNI13137, CNI13138, CNI13139, CNI13140, CNI13141, CNI13142, CNI13143, CNI13145, CNI13146, CNI13147, CNI13150, CNI13152, CNI13154, CNI13155, CNI13156, CNI13157, CNI13158, CNI13159, CNI13162, CNI13163, CNI13164, CNI13165, CNI13167, CNI13168, CNI13170, CNI13171, CNI13172, CNI13173, CNI13274, CNI13275, CNI13276, CNI13278, CNI13279, CNI13333, CNI13548, CNI13550, CNI13551, CNI13552, CNI14005"	
